id,villeLowerCase,zipCode
11075,locunole,29310
11076,tremaouezan,29800
11077,botmeur,29690
11078,lanneanou,29640
11079,guisseny,29880
11080,lanveoc,29160
11081,ploudaniel,29260
11082,lampaul ploudalmezeau,29830
11083,coray,29370
11084,spezet,29540
11085,langolen,29510
11086,chateauneuf du faou,29540
11087,plouneour trez,29890
11088,audierne,29770
11089,ergue gaberic,29500
11090,saint coulitz,29150
11091,plouegat moysan,29650
11092,hopital camfrout,29460
11093,plougar,29440
11094,sibiril,29250
11095,brennilis,29690
11096,landevennec,29560
11097,locmelar,29400
11098,loc brevalaire,29260
11099,laz,29520
11100,querrien,29310
11101,quimper,29000
11102,pont croix,29790
11103,pleuven,29170
11104,pleyben,29190
11105,penmarch,29760
11106,gourlizon,29710
11107,saint thurien,29380
11108,plouzevede,29440
11109,benodet,29950
11110,lanarvily,29260
11111,treguennec,29720
11112,esquibien,29770
11113,plogoff,29770
11114,douarnenez,29100
11115,cleden cap sizun,29770
11116,guimiliau,29400
11117,saint meen,29260
11118,landerneau,29800
11119,tregarantec,29260
11120,elliant,29370
11121,plouarzel,29810
11122,lanneuffret,29400
11123,nevez,29920
11124,saint divy,29800
11125,clohars fouesnant,29950
11126,moelan sur mer,29350
11127,pluguffan,29700
11128,le cloitre saint thegonnec,29410
11129,ploneour lanvern,29720
11130,argol,29560
11131,landunvez,29840
11132,mellac,29300
11133,cleden poher,29270
11134,plouneour menez,29410
11135,brasparts,29190
11136,le conquet,29217
11137,ile de sein,29990
11138,gouesnach,29950
11139,plougourvest,29400
11140,plougonvelin,29217
11141,plonevez du faou,29530
11142,plobannalec lesconil,29740
11143,kersaint plabennec,29860
11144,quemeneven,29180
11145,saint goazec,29520
11146,plouhinec,29780
11147,saint sauveur,29400
11148,saint jean du doigt,29630
11149,pont de buis les quimerch,29590
11150,coat meal,29870
11151,carhaix plouguer,29270
11152,brest,29200
11153,lannedern,29190
11154,plouezoc h,29252
11155,le folgoet,29260
11156,plomelin,29700
11157,logonna daoulas,29460
11158,la martyre,29800
11159,poullaouen,29246
11160,ploudalmezeau,29830
11161,cast,29150
11162,le grau du roi,30240
11163,domazan,30390
11164,les mages,30960
11165,jonquieres saint vincent,30300
11166,la calmette,30190
11167,bez et esparon,30120
11168,villevieille,30250
11169,arrigas,30770
11170,arpaillargues et aureillac,30700
11171,moussac,30190
11172,senechas,30450
11173,saint laurent le minier,30440
11174,saint victor des oules,30700
11175,sardan,30260
11176,roquemaure,30150
11177,lussan,30580
11178,aramon,30390
11179,laval saint roman,30760
11180,saint dionisy,30980
11181,connaux,30330
11182,corconne,30260
11183,codognan,30920
11184,lasalle,30460
11185,baron,30700
11186,la cadiere et cambo,30170
11187,cannes et clairan,30260
11188,sauve,30610
11189,concoules,30450
11190,poulx,30320
11191,quissac,30260
11192,aubais,30250
11193,rivieres,30430
11194,venejan,30200
11195,redessan,30129
11196,beaucaire,30300
11197,aigues mortes,30220
11198,ponteils et bresis,30450
11199,saint hippolyte du fort,30170
11200,nages et solorgues,30114
11201,mejannes le clap,30430
11202,clarensac,30870
11203,mialet,30140
11204,bonnevaux,30450
11205,mandagout,30120
11206,montaren et saint mediers,30700
11207,cros,30170
11208,le cailar,30740
11209,saint etienne de l olm,30360
11210,lamelouze,30110
11211,tavel,30126
11212,boissieres,30114
11213,saint martin de valgalgues,30520
11214,liouc,30260
11215,saint benezet,30350
11216,moulezan,30350
11217,saint hippolyte de montaigu,30700
11218,montfrin,30490
11219,saint christol de rodieres,30760
11220,treves,30750
11221,saint martial,30440
11222,saint felix de pallieres,30140
11223,saint paulet de caisson,30130
11224,saint jean de valeriscle,30960
11225,saint nazaire,30200
11226,saint denis,30500
11227,manduel,30129
11228,les salles du gardon,30110
11229,combas,30250
11230,saint bresson,30440
11231,cardet,30350
11232,les angles,30133
11233,notre dame de la rouviere,30570
11234,navacelles,30580
11235,les plantiers,30122
11236,saint jean du gard,30270
11237,cruviers lascours,30360
11238,causse begon,30750
11239,saint genies de malgoires,30190
11240,seynes,30580
11241,cabrieres,30210
11242,generac,30510
11243,potelieres,30500
11244,gailhan,30260
11245,vallabregues,30300
11246,sernhac,30210
11247,bragassargues,30260
11248,pont saint esprit,30130
11249,saint andre de roquepertuis,30630
11250,lanuejols,30750
11251,aigaliers,30700
11252,saint michel d euzet,30200
11253,carnas,30260
11254,saint alexandre,30130
11255,castillon du gard,30210
11256,gagnieres,30160
11257,aubussargues,30190
11258,anduze,30140
11259,vers pont du gard,30210
11260,alzon,30770
11261,cornillon,30630
11262,molieres sur ceze,30410
11263,bernis,30620
11264,robiac rochessadoule,30160
11265,sanilhac sagries,30700
11266,massillargues attuech,30140
11267,saint come et maruejols,30870
11268,peyremale,30160
11269,salinelles,30250
11270,belvezet,30580
11271,dourbies,30750
11272,saint privat des vieux,30340
11273,saint laurent d aigouze,30220
11274,salazac,30760
11275,sainte cecile d andorge,30110
11276,sauzet,30190
11277,meyrannes,30410
11278,saint chaptes,30190
11279,saint marcel de careiret,30330
11280,sumene,30440
11281,rousson,30340
11282,fressac,30170
11283,domessargues,30350
11284,aujac,30450
11285,saint jean de serres,30350
11286,chamborigaud,30530
11287,ledignan,30350
11288,fournes,30210
11289,fourques,30300
11290,remoulins,30210
11291,laval pradel,30110
11292,ribaute les tavernes,30720
11293,rochefort du gard,30650
11294,corbes,30140
11295,congenies,30111
11296,montagnac,30350
11297,beauvoisin,30640
11298,campestre et luc,30770
11299,caveirac,30820
11300,conqueyrac,30170
11301,pujaut,30131
11302,crespian,30260
11303,mejannes les ales,30340
11304,montmirat,30260
11305,aubord,30620
11306,saint sauveur camprieu,30750
11307,saint hippolyte de caton,30360
11308,bourdic,30190
11309,la bruguiere,30580
11310,aveze,30120
11311,saint genies de comolas,30150
11312,boucoiran et nozieres,30190
11313,la capelle et masmolene,30700
11314,montpezat,30730
11315,saint bonnet de salendrinque,30460
11316,le vigan,30120
11317,la grand combe,30110
11318,parignargues,30730
11319,saint julien de peyrolas,30760
11320,fons sur lussan,30580
11321,saint roman de codieres,30440
11322,uchaud,30620
11323,tharaux,30430
11324,la bastide d engras,30330
11325,aigremont,30350
11326,saint gilles,30800
11327,argilliers,30210
11328,le pin,30330
11329,sauveterre,30150
11330,aimargues,30470
11331,monteils,30360
11332,la vernarede,30530
11333,barjac,30430
11334,meynes,30840
11335,sabran,30200
11336,nimes,30000-30900
11337,gajan,30730
11338,saint paul la coste,30480
11339,orsan,30200
11340,saint maximin,30700
11341,vergeze,30310
11342,estezargues,30390
11343,roquedur,30440
11344,bagard,30140
11345,malons et elze,30450
11346,saint bauzely,30730
11347,comps,30300
11348,codolet,30200
11349,pouzilhac,30210
11350,vallerargues,30580
11351,montfaucon,30150
11352,asperes,30250
11353,saint florent sur auzonnet,30960
11354,souvignargues,30250
11355,servas,30340
11356,l estrechure,30124
11357,saint cesaire de gauzignan,30360
11358,garrigues sainte eulalie,30190
11359,collias,30210
11360,saint laurent la vernede,30330
11361,caissargues,30132
11362,chambon,30450
11363,vic le fesq,30260
11364,genolhac,30450
11365,bagnols sur ceze,30200
11366,saint paul les fonts,30330
11367,bouquet,30580
11368,monoblet,30170
11369,rochegude,30430
11370,saint andre d olerargues,30330
11371,valliguieres,30210
11372,vabres,30460
11373,milhaud,30540
11374,saint siffret,30700
11375,breau et salagosse,30120
11376,collorgues,30190
11377,martignargues,30360
11378,logrian florian,30610
11379,fontareches,30580
11380,valleraugue,30570
11381,allegre les fumades,30500
11382,boisset et gaujac,30140
11383,saumane,30125
11384,molieres cavaillac,30120
11385,saint andre de valborgne,30940
11386,aulas,30120
11387,gaujac,30330
11388,fons,30730
11389,bordezac,30160
11390,le garn,30760
11391,besseges,30160
11392,saint pons la calm,30330
11393,saint victor de malcap,30500
11394,saint quentin la poterie,30700
11395,tresques,30330
11396,massanes,30350
11397,flaux,30700
11398,theziers,30390
11399,saint hilaire de brethmas,30560
11400,saint bres,30500
11401,saint jean de crieulon,30610
11402,issirac,30760
11403,colognac,30460
11404,euzet,30360
11405,tornac,30140
11406,goudargues,30630
11407,savignargues,30350
11408,ners,30360
11409,saint victor la coste,30290
11410,chusclan,30200
11411,blauzac,30700
11412,revens,30750
11413,sainte anastasie,30190
11414,foissac,30700
11415,orthoux serignac quilhan,30260
11416,lezan,30350
11417,lecques,30250
11418,junas,30250
11419,arphy,30120
11420,montignargues,30190
11421,montdardier,30120
11422,mus,30121
11423,saint dezery,30190
11424,saint gervasy,30320
11425,fontanes,30250
11426,saint julien de la nef,30440
11427,arre,30120
11428,vallabrix,30700
11429,vissec,30770
11430,la roque sur ceze,30200
11431,mauressargues,30350
11432,branoux les taillades,30110
11433,montclus,30630
11434,brouzet les ales,30580
11435,pougnadoresse,30330
11436,saint andre de majencoules,30570
11437,saint hilaire d ozilhan,30210
11438,dions,30190
11439,saint etienne des sorts,30200
11440,brouzet les quissac,30260
11441,carsan,30130
11442,vestric et candiac,30600
11443,peyrolles,30124
11444,saint ambroix,30500
11445,uzes,30700
11446,salindres,30340
11447,marguerittes,30320
11448,soustelle,30110
11449,sommieres,30250
11450,calvisson,30420
11451,ales,30100
11452,vauvert,30600
11453,generargues,30140
11454,saint julien les rosiers,30340
11455,villeneuve les avignon,30400
11456,saint jean de ceyrargues,30360
11457,soudorgues,30460
11458,brignon,30190
11459,ledenon,30210
11460,saint theodorit,30260
11461,saint bonnet du gard,30210
11462,blandas,30770
11463,saint christol les ales,30380
11464,portes,30530
11465,bezouce,30320
11466,serviers et labaume,30700
11467,cavillargues,30330
11468,lirac,30126
11469,saint jean de maruejols et avejan,30430
11470,saint privat de champclos,30430
11471,saint mamert du gard,30730
11472,le martinet,30960
11473,garons,30128
11474,mons,30340
11475,saint jean du pin,30140
11476,maruejols les gardon,30350
11477,rogues,30120
11478,durfort et saint martin de sossenac,30170
11479,aumessas,30770
11480,saint clement,30260
11481,aigues vives,30670
11482,gallargues le montueux,30660
11483,saint nazaire des gardies,30610
11484,saint maurice de cazevieille,30360
11485,vezenobres,30360
11486,aujargues,30250
11487,les plans,30340
11488,saint laurent de carnols,30200
11489,bellegarde,30127
11490,courry,30500
11491,saint gervais,30200
11492,rodilhan,30230
11493,verfeuil,30630
11494,mars,30120
11495,canaules et argentieres,30350
11496,castelnau valence,30190
11497,pompignan,30170
11498,saint just et vacquieres,30580
11499,pommiers,30120
11500,saint sebastien d aigrefeuille,30140
11501,saze,30650
11502,la rouviere,30190
11503,aigueze,30760
11504,sainte croix de caderle,30460
11505,deaux,30360
11506,langlade,30980
11507,bouillargues,30230
11508,laudun l ardoise,30290
11509,cendras,30480
11510,thoiras,30140
11511,saint julien de cassagnas,30500
11512,saint laurent des arbres,30126
11513,puechredon,30610
11514,cassagnoles,30350
11515,lunax,31350
11516,fontenilles,31470
11517,arbon,31160
11518,loudet,31580
11519,castillon de larboust,31110
11520,saint aventin,31110
11521,gensac sur garonne,31310
11522,pin balma,31130
11523,ausseing,31260
11524,segreville,31460
11525,tarabel,31570
11526,seilh,31840
11527,roques,31120
11528,bragayrac,31470
11529,boudrac,31580
11530,estenos,31440
11531,mirepoix sur tarn,31340
11532,juzes,31540
11533,salies du salat,31260
11534,soueich,31160
11535,beauzelle,31700
11536,sauveterre de comminges,31510
11537,portet de luchon,31110
11538,gragnague,31380
11539,lacaugne,31390
11540,lestelle de saint martory,31360
11541,saint gaudens,31800
11542,lacroix falgarde,31120
11543,lez,31440
11544,vigoulet auzil,31320
11545,cazeres,31220
11546,empeaux,31470
11547,le cuing,31210
11548,le fauga,31410
11549,saint julia,31540
11550,roquettes,31120
11551,lagrace dieu,31190
11552,saint marcel paulel,31590
11553,lilhac,31230
11554,leguevin,31490
11555,sengouagnet,31160
11556,colomiers,31770
11557,castagnede,31260
11558,pechabou,31320
11559,fos,31440
11560,fabas,31230
11561,pouy de touges,31430
11562,chaum,31440
11563,francazal,31260
11564,cardeilhac,31350
11565,mondavezan,31220
11566,monestrol,31560
11567,barbazan,31510
11568,montjoire,31380
11569,figarol,31260
11570,montauban de luchon,31110
11571,montgiscard,31450
11572,muret,31600
11573,terrebasse,31420
11574,montesquieu lauragais,31450
11575,daux,31700
11576,la magdelaine sur tarn,31340
11577,cabanac cazaux,31160
11578,saint lys,31470
11579,aurin,31570
11580,vieille toulouse,31320
11581,ramonville saint agne,31520
11582,mauvezin,31230
11583,le pin murelet,31370
11584,ore,31510
11585,saint lary boujean,31350
11586,anan,31230
11587,miremont,31190
11588,caubous,31110
11589,francon,31420
11590,ausson,31210
11591,boussens,31360
11592,sarrecave,31350
11593,gaillac toulza,31550
11594,his,31260
11595,le born,31340
11596,villaries,31380
11597,menville,31530
11598,saint martory,31360
11599,merenvielle,31530
11600,binos,31440
11601,antichan de frontignes,31510
11602,gratentour,31150
11603,garin,31110
11604,couladere,31220
11605,le faget,31460
11606,cornebarrieu,31700
11607,les tourreilles,31210
11608,mervilla,31320
11609,savarthes,31800
11610,trebons sur la grasse,31290
11611,roumens,31540
11612,gaure,31590
11613,cessales,31290
11614,le gres,31480
11615,francarville,31460
11616,pradere les bourguets,31530
11617,vernet,31810
11618,fenouillet,31150
11619,saiguede,31470
11620,mauvaisin,31190
11621,ayguesvives,31450
11622,castanet tolosan,31320
11623,mauressac,31190
11624,nenigan,31350
11625,montastruc saves,31370
11626,tournefeuille,31170
11627,saint ferreol de comminges,31350
11628,salles sur garonne,31390
11629,saint elix le chateau,31430
11630,labruyere dorsa,31190
11631,cintegabelle,31550
11632,rieumes,31370
11633,salerm,31230
11634,caraman,31460
11635,labastide saint sernin,31620
11636,lagarde,31290
11637,latour,31310
11638,lourde,31510
11639,saint julien sur garonne,31220
11640,aspret sarrat,31800
11641,aulon,31420
11642,montclar de comminges,31220
11643,saint genies bellevue,31180
11644,montgaillard de salies,31260
11645,bagiry,31510
11646,loubens lauragais,31460
11647,saint pierre,31590
11648,folcarde,31290
11649,portet sur garonne,31120
11650,lherm,31600
11651,montlaur,31450
11652,riolas,31230
11653,pouze,31450
11654,carbonne,31390
11655,frontignan saves,31230
11656,bourg d oueil,31110
11657,saint christaud,31310
11658,castelginest,31780
11659,estadens,31160
11660,espanes,31450
11661,rieux volvestre,31310
11662,moustajon,31110
11663,ganties,31160
11664,goyrans,31120
11665,encausse les thermes,31160
11666,lavelanet de comminges,31220
11667,labroquere,31510
11668,longages,31410
11669,saint pe d ardet,31510
11670,saint sulpice sur leze,31410
11671,bretx,31530
11672,montastruc de salies,31160
11673,la salvetat saint gilles,31880
11674,saint araille,31430
11675,albiac,31460
11676,sarremezan,31350
11677,baziege,31450
11678,laffite toupiere,31360
11679,villefranche de lauragais,31290
11680,mondonville,31700
11681,mirambeau,31230
11682,azas,31380
11683,ambax,31230
11684,bellegarde sainte marie,31530
11685,lafitte vigordane,31390
11686,labastide beauvoir,31450
11687,labarthe inard,31800
11688,lescuns,31220
11689,villeneuve de riviere,31800
11690,cuguron,31210
11691,montrejeau,31210
11692,noueilles,31450
11693,chein dessus,31160
11694,mailholas,31310
11695,izaut de l hotel,31160
11696,mons,31280
11697,villemur sur tarn,31340
11698,roquefort sur garonne,31360
11699,cox,31480
11700,larcan,31800
11701,bouloc,31620
11702,marignac,31440
11703,saint paul sur save,31530
11704,pibrac,31820
11705,belberaud,31450
11706,blagnac,31700
11707,belesta en lauragais,31540
11708,cadours,31480
11709,belbeze de lauragais,31450
11710,fronsac,31440
11711,bessieres,31660
11712,castillon de saint martory,31360
11713,pins justaret,31860
11714,saint michel,31220
11715,lareole,31480
11716,saint felix lauragais,31540
11717,mondilhan,31350
11718,lavernose lacasse,31410
11719,toulouse,31000-31100-31200-31300-31400-31500
11720,rieumajou,31290
11721,frouzins,31270
11722,montgeard,31560
11723,bouzin,31420
11724,montgaillard lauragais,31290
11725,lieoux,31800
11726,cazac,31230
11727,salles et pratviel,31110
11728,l isle en dodon,31230
11729,villaudric,31620
11730,sabonneres,31370
11731,bourg saint bernard,31570
11732,vallegue,31290
11733,deyme,31450
11734,plagnole,31370
11735,villematier,31340
11736,saveres,31370
11737,villeneuve les bouloc,31620
11738,beaupuy,31850
11739,caragoudes,31460
11740,cepet,31620
11741,montesquieu guittaut,31230
11742,auzeville tolosane,31320
11743,beauteville,31290
11744,montaut,31410
11745,saint marcet,31800
11746,auterive,31190
11747,marliac,31550
11748,blajan,31350
11749,palaminy,31220
11750,alan,31420
11751,saint plancard,31580
11752,canens,31310
11753,cassagne,31260
11754,arguenos,31160
11755,saint beat,31440
11756,lasserre,31530
11757,burgalays,31440
11758,lanta,31570
11759,verfeil,31590
11760,cazaril tamboures,31580
11761,vallesvilles,31570
11762,razecueille,31160
11763,merville,31330
11764,urau,31260
11765,montaigut sur save,31530
11766,castelgaillard,31230
11767,saint pierre de lages,31570
11768,saint mamet,31110
11769,corronsac,31450
11770,mondouzil,31850
11771,beaufort,31370
11772,escalquens,31750
11773,valentine,31800
11774,lecussan,31580
11775,baren,31440
11776,herran,31160
11777,goudex,31230
11778,bezins garraux,31440
11779,boussan,31420
11780,le castera,31530
11781,auriac sur vendinelle,31460
11782,juzet de luchon,31110
11783,seysses,31600
11784,montgaillard sur save,31350
11785,lauzerville,31650
11786,gibel,31560
11787,samouillan,31420
11788,rebigue,31320
11789,lodes,31800
11790,lagardelle sur leze,31870
11791,ciadoux,31350
11792,villenouvelle,31290
11793,castera vignoles,31350
11794,saint elix seglan,31420
11795,saint rustice,31620
11796,vignaux,31480
11797,caujac,31190
11798,puydaniel,31190
11799,prunet,31460
11800,saint paul d oueil,31110
11801,aussonne,31840
11802,saint germier,31290
11803,huos,31210
11804,miramont de comminges,31800
11805,goutevernisse,31310
11806,saint hilaire,31410
11807,villeneuve tolosane,31270
11808,puyssegur,31480
11809,brignemont,31480
11810,venerque,31810
11811,bonrepos riquet,31590
11812,ponlat taillebourg,31210
11813,saint jean,31240
11814,saint pe delbosc,31350
11815,proupiary,31360
11816,luscan,31510
11817,saint loup cammas,31140
11818,pointis de riviere,31210
11819,dremil lafage,31280
11820,couret,31160
11821,aucamville,31140
11822,sedeilhac,31580
11823,calmont,31560
11824,gourdan polignan,31210
11825,signac,31440
11826,peguilhan,31350
11827,gemil,31380
11828,avignonet lauragais,31290
11829,cabanac seguenville,31480
11830,peyssies,31390
11831,montberon,31140
11832,labastidette,31600
11833,montclar lauragais,31290
11834,saint sauveur,31790
11835,l union,31240
11836,odars,31450
11837,montrabe,31850
11838,portet d aspet,31160
11839,toutens,31460
11840,drudas,31480
11841,saint jory,31790
11842,castelnau d estretefonds,31620
11843,lux,31290
11844,sode,31110
11845,saint orens de gameville,31650
11846,antignac,31110
11847,trebons de luchon,31110
11848,varennes,31450
11849,fonsorbes,31470
11850,mauran,31220
11851,labege,31670
11852,lahitere,31310
11853,saint thomas,31470
11854,larroque,31580
11855,roqueseriere,31380
11856,gagnac sur garonne,31150
11857,caignac,31560
11858,pompertuzat,31450
11859,martisserre,31230
11860,donneville,31450
11861,peyrissas,31420
11862,thil,31530
11863,mane,31260
11864,fourquevaux,31450
11865,lespugue,31350
11866,berat,31370
11867,poucharramet,31370
11868,maureville,31460
11869,bax,31310
11870,arnaud guilhem,31360
11871,charlas,31350
11872,cugnaux,31270
11873,castelbiague,31160
11874,maurens,31540
11875,lalouret laffiteau,31800
11876,mascarville,31460
11877,rieucaze,31800
11878,boulogne sur gesse,31350
11879,latoue,31800
11880,gardouch,31290
11881,clermont le fort,31810
11882,agassac,31230
11883,preserville,31570
11884,montgras,31370
11885,frontignan de comminges,31510
11886,forgues,31370
11887,eoux,31420
11888,ondes,31330
11889,marsoulas,31260
11890,nogaret,31540
11891,saint medard,31360
11892,le cabanial,31460
11893,labastide paumes,31230
11894,auragne,31190
11895,mancioux,31360
11896,coueilles,31230
11897,layrac sur tarn,31340
11898,saint frajou,31230
11899,cambernard,31470
11900,nailloux,31560
11901,boutx,31440
11902,valcabrere,31510
11903,sepx,31360
11904,polastron,31430
11905,mayregne,31110
11906,latrape,31310
11907,esparron,31420
11908,puymaurin,31230
11909,brax,31490
11910,estancarbon,31800
11911,montespan,31260
11912,beauville,31460
11913,beauchalot,31360
11914,fustignac,31430
11915,balesta,31580
11916,montoulieu saint bernard,31420
11917,saint cezert,31330
11918,bachas,31420
11919,mones,31370
11920,seilhan,31510
11921,esperce,31190
11922,la salvetat lauragais,31460
11923,lussan adeilhac,31430
11924,seyre,31560
11925,saint rome,31290
11926,pechbusque,31320
11927,saint jean lherm,31380
11928,lapeyrere,31310
11929,cazeaux de larboust,31110
11930,balma,31130
11931,ardiege,31210
11932,sainte foy d aigrefeuille,31570
11933,capens,31410
11934,lautignac,31370
11935,lavalette,31590
11936,saccourvielle,31110
11937,aspet,31160
11938,cassagnabere tournas,31420
11939,bois de la pierre,31390
11940,montegut lauragais,31540
11941,boissede,31230
11942,malvezie,31510
11943,lahage,31370
11944,saint andre,31420
11945,gouzens,31310
11946,gratens,31430
11947,le frechet,31360
11948,montbernard,31230
11949,plagne,31220
11950,melles,31440
11951,montberaud,31220
11952,oo,31110
11953,montgazin,31410
11954,mazeres sur salat,31260
11955,saint alban,31140
11956,bordes de riviere,31210
11957,launaguet,31140
11958,rouede,31160
11959,plaisance du touch,31830
11960,saux et pomarede,31800
11961,launac,31330
11962,auzas,31360
11963,franquevielle,31210
11964,peyrouzet,31420
11965,bazus,31380
11966,mourvilles basses,31460
11967,cier de luchon,31110
11968,lamasquere,31600
11969,rouffiac tolosan,31180
11970,juzet d izaut,31160
11971,cazaux layrisse,31440
11972,villate,31860
11973,cathervielle,31110
11974,escoulis,31260
11975,benque,31420
11976,massabrac,31310
11977,noe,31410
11978,aigrefeuille,31280
11979,garidech,31380
11980,cires,31110
11981,pechbonnieu,31140
11982,vaudreuille,31250
11983,lapeyrouse fossat,31180
11984,quint fonsegrives,31130
11985,cazaunous,31160
11986,auribail,31190
11987,escanecrabe,31350
11988,grepiac,31190
11989,cazeneuve montaut,31420
11990,vieillevigne,31290
11991,montmaurin,31350
11992,revel,31250
11993,castelnau picampeau,31430
11994,saussens,31460
11995,auzielle,31650
11996,bruguieres,31150
11997,galie,31510
11998,labarthe riviere,31800
11999,castagnac,31310
12000,larra,31330
12001,labarthe sur leze,31860
12002,buzet sur tarn,31660
12003,martres tolosane,31220
12004,fougaron,31160
12005,bachos,31440
12006,touille,31260
12007,cambiac,31460
12008,paulhac,31380
12009,saleich,31260
12010,belbeze en comminges,31260
12011,lespinasse,31150
12012,levignac,31530
12013,moncaup,31160
12014,marignac laspeyres,31220
12015,saman,31350
12016,martres de riviere,31210
12017,montsaunes,31260
12018,bagneres de luchon,31110
12019,montbrun lauragais,31450
12020,cazaril laspenes,31110
12021,poubeau,31110
12022,cier de riviere,31510
12023,argut dessous,31440
12024,lespiteau,31160
12025,jurvielle,31110
12026,milhas,31160
12027,arlos,31440
12028,benque dessous et dessus,31110
12029,sajas,31370
12030,artigue,31110
12031,gouaux de luchon,31110
12032,gouaux de larboust,31110
12033,guran,31440
12034,billiere,31110
12035,le plan,31220
12036,montegut bourjac,31430
12037,clarac,31210
12038,sainte foy de peyrolieres,31470
12039,montbrun bocage,31310
12040,bellesserre,31480
12041,saint clar de riviere,31600
12042,nizan gesse,31350
12043,mourvilles hautes,31540
12044,beaumont sur leze,31870
12045,eup,31440
12046,saint laurent,31230
12047,gargas,31620
12048,senarens,31430
12049,mauzac,31410
12050,labastide clermont,31370
12051,saint bertrand de comminges,31510
12052,payssous,31510
12053,le fousseret,31430
12054,montoussin,31430
12055,montesquieu volvestre,31310
12056,le burgaud,31330
12057,saint loup en comminges,31350
12058,aurignac,31420
12059,arbas,31160
12060,mont de galie,31510
12061,regades,31800
12062,falga,31540
12063,vacquiers,31340
12064,pelleport,31480
12065,grenade,31330
12066,bondigoux,31340
12067,fronton,31620
12068,caubiac,31480
12069,sainte livrade,31530
12070,montastruc la conseillere,31380
12071,lagraulet saint nicolas,31480
12072,vaux,31540
12073,renneville,31290
12074,pinsaguel,31120
12075,gensac de boulogne,31350
12076,cierp gaud,31440
12077,marignac lasclares,31430
12078,lege,31440
12079,vendine,31460
12080,saubens,31600
12081,saint ignan,31800
12082,landorthe,31800
12083,genos,31510
12084,villeneuve lecussan,31580
12085,saint vincent,31290
12086,fonbeauzard,31140
12087,eaunes,31600
12088,montpitol,31380
12089,aureville,31320
12090,pointis inard,31800
12091,mauremont,31290
12092,marquefave,31390
12093,molas,31230
12094,garac,31480
12095,flourens,31130
12096,castelmaurou,31180
12097,bonrepos sur aussonnelle,31470
12098,casties labrande,31430
12099,aignes,31550
12100,grazac,31190
12101,sana,31220
12102,saint leon,31560
12103,issus,31450
12104,mont d astarac,32140
12105,sabazan,32290
12106,terraube,32700
12107,la romieu,32480
12108,aurensan,32400
12109,monguilhem,32240
12110,tirent pontejac,32450
12111,gondrin,32330
12112,samaran,32140
12113,betcave aguin,32420
12114,mouchan,32330
12115,riguepeu,32320
12116,bezolles,32310
12117,lagraulet du gers,32330
12118,demu,32190
12119,eauze,32800
12120,bazian,32320
12121,cassaigne,32100
12122,durban,32260
12123,moncassin,32300
12124,clermont pouyguilles,32300
12125,termes d armagnac,32400
12126,meilhan,32420
12127,loussous debat,32290
12128,crastes,32270
12129,bonas,32410
12130,saint germier,32200
12131,bourrouillan,32370
12132,plieux,32340
12133,callian,32190
12134,lauraet,32330
12135,sainte gemme,32120
12136,miramont d astarac,32300
12137,saramon,32450
12138,saint georges,32430
12139,avezan,32380
12140,le brouilh monbert,32350
12141,belloc saint clamens,32300
12142,couloume mondebat,32160
12143,serempuy,32120
12144,viella,32400
12145,lamaguere,32260
12146,mascaras,32230
12147,segoufielle,32600
12148,cabas loumasses,32140
12149,haget,32730
12150,castex d armagnac,32240
12151,lombez,32220
12152,mourede,32190
12153,saint soulan,32220
12154,loubedat,32110
12155,ardizas,32430
12156,armous et cau,32230
12157,lagarde hachan,32300
12158,labejan,32300
12159,pouy loubrin,32260
12160,laveraet,32230
12161,sainte marie,32200
12162,saint arroman,32300
12163,galiax,32160
12164,larroque sur l osse,32100
12165,arblade le bas,32720
12166,mauroux,32380
12167,sarrant,32120
12168,brugnens,32500
12169,saint martin gimois,32450
12170,flamarens,32340
12171,homps,32120
12172,gee riviere,32720
12173,sadeillan,32170
12174,pessan,32550
12175,malabat,32730
12176,lamothe goas,32500
12177,pallanne,32230
12178,aignan,32290
12179,ponsan soubiran,32300
12180,nougaroulet,32270
12181,montadet,32220
12182,peyrusse grande,32320
12183,marciac,32230
12184,samatan,32130
12185,panassac,32140
12186,lourties monbrun,32140
12187,saint elix theux,32300
12188,pauilhac,32500
12189,ordan larroque,32350
12190,pouy roquelaure,32480
12191,maravat,32120
12192,puylausic,32220
12193,magnas,32380
12194,casteron,32380
12195,l isle bouzon,32380
12196,urdens,32500
12197,merens,32360
12198,mormes,32240
12199,savignac mona,32130
12200,sion,32110
12201,castelnau d auzan,32440
12202,maulicheres,32400
12203,tasque,32160
12204,castelnau d angles,32320
12205,bassoues,32320
12206,biran,32350
12207,marambat,32190
12208,maurens,32200
12209,monblanc,32130
12210,polastron,32130
12211,saint mont,32400
12212,peyrusse massas,32360
12213,saint christaud,32320
12214,bouzon gellenave,32290
12215,lalanne,32500
12216,l isle jourdain,32600
12217,tournan,32420
12218,clermont saves,32600
12219,la sauvetat,32500
12220,lahitte,32810
12221,sainte aurence cazaux,32300
12222,haulies,32550
12223,corneillan,32400
12224,beccas,32730
12225,seailles,32190
12226,montpezat,32220
12227,vic fezensac,32190
12228,manas bastanous,32170
12229,betplan,32730
12230,castex,32170
12231,saint lary,32360
12232,barcelonne du gers,32720
12233,saint sauvy,32270
12234,pessoulens,32380
12235,juillac,32230
12236,lamazere,32300
12237,pouylebon,32320
12238,bedechan,32450
12239,barran,32350
12240,ornezan,32260
